province,city,name,address
北京市,北京市,星巴克咖啡(诚盈中心店),来广营西路诚盈中心3号楼1层
北京市,北京市,星巴克咖啡(梦秀商场店),望京西路41号地上1层1-3、1-6
北京市,北京市,星巴克咖啡(北京鲁谷远洋店),玉泉路59号院2号燕保大厦1层A001单元
北京市,北京市,星巴克咖啡(卓展二店),复兴路69号卓展购物中心5层近耀莱国际影城
北京市,北京市,星巴克咖啡(银泰百货大红门店),大红门西路26号11号商业楼首层L1-1单元
北京市,北京市,星巴克咖啡(建国路第二咖店),建国路112号惠普大厦1层
北京市,北京市,星巴克咖啡(北京清河营南街店),清河营南街7号院4号楼北苑华贸城1层126-127
北京市,北京市,星巴克咖啡(朝阳大悦城店),朝阳北路101号朝阳大悦城1层2号
北京市,北京市,星巴克咖啡(北京上地东路店),上地东路1号院7号楼环洋大厦1层东101
北京市,北京市,星巴克咖啡(工体北路2店),工体北路8号院三里屯SOHO1号商场1层1-118室
北京市,北京市,星巴克咖啡(北京万博苑店),万博苑7号楼王府井购物中心1层(右安门桥)
北京市,北京市,星巴克咖啡(北京陈家营西路店),陈家营西路3号院23号楼1层101-2单元
北京市,北京市,星巴克咖啡(霄云路二店),霄云路38号现代汽车大厦1层
北京市,北京市,星巴克咖啡(丰北路咖啡店),丰北路甲79号楼华堂商场1层1-001单元
北京市,北京市,星巴克咖啡(丰葆路店),丰葆路永旺梦乐城1层
北京市,北京市,星巴克咖啡(五彩城店),清河中街68号华润五彩城西区1层L101号
北京市,北京市,星巴克咖啡(北京新族大厦店),建国门外大街丙12号宝钢大厦
北京市,北京市,星巴克咖啡(北京金隅嘉品店),东坝中路金隅嘉品mall1层
北京市,北京市,星巴克咖啡(北京黄平路咖啡店),黄平路19号院1号楼B单元101-2室
北京市,北京市,星巴克咖啡(北京东三环北店),东三环北路27号嘉铭中心大厦A座B1层024号
北京市,北京市,星巴克咖啡(北京西大望路第一店),西大望路15号外企大厦B座1层
北京市,北京市,星巴克咖啡(北京复兴门内店),复兴门内大街28号凯晨世贸中心西座大堂
北京市,北京市,星巴克咖啡(北京东方广场东店),东长安街1号东方广场B1层
北京市,北京市,星巴克咖啡(南四环西路咖啡店),南四环西路188号1区2号楼总部广场B座1层
北京市,北京市,星巴克咖啡(北京顺义丽苑街咖啡店),天竺镇丽苑街15号27号楼102-103单元
北京市,北京市,星巴克咖啡(3号航站楼C区),首都国际机场中心广场东侧3号航站楼C区3F层
北京市,北京市,星巴克咖啡(朝阳门SOHO店),南竹杆胡同1号朝阳门SOHOB1-123号
北京市,北京市,星巴克咖啡(宏福路店),西红门欣旺北街8号鸿坤广场F1层
